Varunummer,Namn,Producent,Pris,Volym,Forpackning,Kategori3,Ursprung,Druvor,AssortmentText,IsNewInAssortment,ProductLaunchDate,Argang,IsCompletelyOutOfStock,IsTemporaryOutOfStock,IsDiscontinued,IsSupplierTemporaryNotAvailable
471715,Piccolo Primo Primitivo,Varvaglione Vigne e Vini,45.0,250 ml,Burk,Fruktigt & Smakrikt,Italien,Primitivo,Fast sortiment,True,2026-06-01,2025,False,False,False,False
214801,Maison Blanche Rosé,Terra Vecchia,109.0,750 ml,Lättare glasflaska,Friskt & Bärigt,Frankrike,,Fast sortiment,True,2026-06-01,2025,False,False,False,False
797001,De Bortoli Family Selection Brut Cuvée,De Bortoli Wines Pty Ltd,89.0,750 ml,Lättare glasflaska,Torrt vitt,Australien,"Chardonnay, Pinot noir",Fast sortiment,True,2026-06-01,,False,False,False,False
252301,Black Knight Cabernet Sauvignon,Limestone Coast Wines,119.0,750 ml,Lättare glasflaska,Fruktigt & Smakrikt,Australien,Cabernet sauvignon,Fast sortiment,True,2026-06-01,2024,False,False,False,False
569101,Famille Audu Chardonnay,Gaec du mas de Reboul,99.0,750 ml,Lättare glasflaska,Fylligt & Smakrikt,Frankrike,,Fast sortiment,True,2026-06-01,2025,False,False,False,False
2019501,Casa Santos Lima Dão reserva,Casa Santos Lima - Companhia das Vinhas S.A.,99.0,750 ml,Lättare glasflaska,Fruktigt & Smakrikt,Portugal,"Touriga naçional, Jaen, Tinta roriz",Fast sortiment,True,2026-06-01,2024,False,False,False,False
471501,Moonlight Manor Cabernet Sauvignon,De Waal,99.0,750 ml,Lättare glasflaska,Fruktigt & Smakrikt,Sydafrika,Cabernet sauvignon,Fast sortiment,True,2026-06-01,2025,False,False,False,True
2030801,Lisa 1503 Spumante,Ca’ di Rajo,99.0,750 ml,Lättare glasflaska,Torrt vitt,Italien,"Garganega, Chardonnay",Fast sortiment,True,2026-06-01,,False,False,False,False
2031001,Contacto Loureiro,Mendes & Symington,119.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Portugal,Loureiro,Fast sortiment,True,2026-06-01,2025,False,False,False,False
261401,OVE Lisboa Rosé,Enjoy Wine & Spirits,89.0,750 ml,Lättare glasflaska,Friskt & Bärigt,Portugal,,Fast sortiment,True,2026-06-01,2025,False,False,False,False
2030701,Nigiri Sauvignon Blanc,Vini Bella Terra,109.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Italien,Sauvignon blanc,Fast sortiment,True,2026-06-01,2025,False,False,False,False
253401,Gio Rosso Piceno,Terre Cortesi Moncaro,99.0,750 ml,Lättare glasflaska,Fruktigt & Smakrikt,Italien,"Montepulciano, Sangiovese",Fast sortiment,True,2026-06-01,2025,False,False,False,False
169406,Inycon Fiano Chardonnay,Cantine Settesoli,149.0,1500 ml,Lättare glasflaska,Friskt & Fruktigt,Italien,"Fiano, Chardonnay",Fast sortiment,True,2026-06-01,2025,False,False,False,False
168401,Etna Rosso Terre dei Miti,Terre dei Miti,199.0,750 ml,Lättare glasflaska,Kryddigt & Mustigt,Italien,,Fast sortiment,True,2026-06-01,2024,False,False,False,False
471601,SEDA Bobal Syrah,Torre Oria,99.0,750 ml,Lättare glasflaska,Fruktigt & Smakrikt,Spanien,"Bobal, Syrah",Fast sortiment,True,2026-06-01,2025,False,False,False,False
471401,Bon Courage Prestige Cuvée Chardonnay,Bon Courage,119.0,750 ml,Lättare glasflaska,Fylligt & Smakrikt,Sydafrika,Chardonnay,Fast sortiment,True,2026-06-01,2025,False,False,False,False
2031201,Huber Riesling Family Selection,Weingut Markus Huber GmbH & Co KG,99.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Österrike,Riesling,Fast sortiment,True,2026-06-01,2025,False,False,False,False
2031334,Ecologica Girasol Rosé Organic Bobal,Hammeken Cellars,49.0,250 ml,Burk,Fruktigt & Smakrikt,Spanien,Bobal,Fast sortiment,True,2026-06-01,2025,False,False,False,False
282001,Torre do Olivar Treixadura,Adegas Pazo do Mar,149.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Spanien,"Treixadura, Albariño",Fast sortiment,True,2026-06-01,2025,False,False,False,False
2018901,Gorgeous Brut Rosé,Old Road Wine Co,149.0,750 ml,Glasflaska,Rosé,Sydafrika,"Chardonnay, Pinot noir",Fast sortiment,True,2026-06-01,,False,False,False,False
278501,Oakenshield Petite Sirah Castoro Cellars,Castoro Cellars,169.0,750 ml,Lättare glasflaska,Fruktigt & Smakrikt,USA,Petite sirah,Fast sortiment,True,2026-06-01,2024,False,True,False,True
241701,Privat Brut Nature Reserva Chardonnay,Cava Privat,159.0,750 ml,Glasflaska,Torrt vitt,Spanien,Chardonnay,Fast sortiment,True,2026-06-01,2023,False,False,False,True
271301,Albades Garnacha Blanca Viura,Hammeken Cellars,99.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Spanien,"Garnacha blanca, Viura",Fast sortiment,True,2026-06-01,2025,False,False,False,False
2019801,Diente de Leon Skin Contact,Montlaiz,120.0,750 ml,Lättare glasflaska,Fylligt & Smakrikt,Argentina,,Fast sortiment,True,2026-09-01,2025,False,False,False,False
2032401,Poggio San Polo Chianti,San Polo,139.0,750 ml,Lättare glasflaska,Kryddigt & Mustigt,Italien,Sangiovese,Fast sortiment,True,2026-09-01,2025,False,False,False,False
2031901,Bender Riesling,Weinhaus Bender Manuel,129.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Tyskland,Riesling,Fast sortiment,True,2026-09-01,2025,False,False,False,False
2030901,Ramón Bilbao Rosado,Bodegas Ramón Bilbao,129.0,750 ml,Lättare glasflaska,Fruktigt & Smakrikt,Spanien,,Fast sortiment,True,2026-06-01,2025,False,False,False,False
